customer_id,customer_name,city,signup_date
1,Customer_1,Shenzhen,2023-01-01
2,Customer_2,Hangzhou,2023-01-18
3,Customer_3,Guangzhou,2023-02-04
4,Customer_4,,2023-02-21
5,Customer_5,Hangzhou,2023-03-10
6,Customer_6,Shanghai,2023-03-27
7,Customer_7,Guangzhou,2023-04-13
8,Customer_8,Guangzhou,2023-04-30
9,Customer_9,Guangzhou,2023-05-17
10,Customer_10,Hangzhou,2023-06-03
11,Customer_11,,2023-06-20
12,Customer_12,Guangzhou,2023-07-07
13,Customer_13,Hangzhou,2023-07-24
14,Customer_14,Shanghai,2023-08-10
15,Customer_15,Shenzhen,2023-08-27
16,Customer_16,Shanghai,2023-09-13
17,Customer_17,Shenzhen,2023-09-30
18,Customer_18,Hangzhou,2023-10-17
19,Customer_19,Beijing,2023-11-03
20,Customer_20,Shenzhen,2023-11-20
